Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,8,168,7,Some Random Commen with Id 0
1,0,8,87,4,Some Random Commen with Id 1
2,0,8,96,4,Some Random Commen with Id 2
3,0,8,112,2,Some Random Commen with Id 3
4,0,8,49,4,Some Random Commen with Id 4
5,1,4,195,1,Some Random Commen with Id 5
6,2,6,161,9,Some Random Commen with Id 6
7,2,6,111,3,Some Random Commen with Id 7
8,2,6,185,9,Some Random Commen with Id 8
9,3,3,47,3,Some Random Commen with Id 9
10,3,3,109,3,Some Random Commen with Id 10
11,5,1,12,2,Some Random Commen with Id 11
12,5,1,59,1,Some Random Commen with Id 12
13,5,1,17,0,Some Random Commen with Id 13
14,5,1,117,7,Some Random Commen with Id 14
15,6,6,173,3,Some Random Commen with Id 15
16,6,6,2,1,Some Random Commen with Id 16
17,7,4,172,2,Some Random Commen with Id 17
18,7,4,129,8,Some Random Commen with Id 18
19,7,4,44,5,Some Random Commen with Id 19
20,7,4,6,6,Some Random Commen with Id 20
21,7,4,123,7,Some Random Commen with Id 21
22,8,0,50,3,Some Random Commen with Id 22
23,8,0,70,3,Some Random Commen with Id 23
24,8,0,43,6,Some Random Commen with Id 24
25,9,7,91,3,Some Random Commen with Id 25
26,9,7,190,2,Some Random Commen with Id 26
27,9,7,190,7,Some Random Commen with Id 27
28,9,7,88,2,Some Random Commen with Id 28
29,10,3,55,0,Some Random Commen with Id 29
30,10,3,43,6,Some Random Commen with Id 30
31,10,3,189,4,Some Random Commen with Id 31
32,12,2,56,6,Some Random Commen with Id 32
33,12,2,47,5,Some Random Commen with Id 33
34,12,2,36,8,Some Random Commen with Id 34
35,12,2,9,2,Some Random Commen with Id 35
36,12,2,23,8,Some Random Commen with Id 36
37,13,8,192,3,Some Random Commen with Id 37
38,13,8,29,0,Some Random Commen with Id 38
39,13,8,11,1,Some Random Commen with Id 39
40,13,8,171,8,Some Random Commen with Id 40
41,13,8,85,9,Some Random Commen with Id 41
42,13,8,122,7,Some Random Commen with Id 42
43,13,8,194,4,Some Random Commen with Id 43
44,14,9,164,1,Some Random Commen with Id 44
45,14,9,98,2,Some Random Commen with Id 45
46,14,9,34,9,Some Random Commen with Id 46
47,14,9,107,3,Some Random Commen with Id 47
48,14,9,123,0,Some Random Commen with Id 48
